NAME,CLUB,LEAGUE,NATION,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,WORKRATE,STRONGFOOT,WEAKFOOT,SKILLMOVES,LOADDATE
Lucas Leiva,Lazio,Italy Serie A,Brazil,CDM,Gold,83,88,81,78,83,33,79,Medium / High,Right,3,3,
Julian Draxler,Paris Saint-Germain,France Ligue 1,Germany,CM,Gold,83,51,32,44,54,83,84,Medium / Medium,Right,5,4,
Luiz Gustavo,Olympique de Marseille,France Ligue 1,Brazil,CDM,Gold,83,66,72,81,77,79,80,Medium / High,Left,3,3,
Naby Keïta,Liverpool,England Premier League,Guinea,CM,Gold,83,85,76,83,85,59,67,High / Medium,Right,4,4,
Lucas Vázquez,Real Madrid,Spain Primera Division,Spain,RW,Gold,83,61,65,73,71,82,77,High / High,Right,4,4,
Daniele De Rossi,Roma,Italy Serie A,Italy,CDM,Gold,83,94,76,75,85,25,60,Medium / High,Right,4,2,
Manu Trigueros,Villarreal CF,Spain Primera Division,Spain,CM,Gold,83,77,39,67,68,82,83,Medium / Medium,Right,4,4,
Willian José,Real Sociedad,Spain Primera Division,Brazil,ST,Gold,83,74,74,79,80,77,79,Medium / Low,Right,4,4,
Jonathan Tah,Bayer 04 Leverkusen,Germany 1. Bundesliga,Germany,CB,Gold,83,68,69,78,86,54,49,Medium / Medium,Right,4,2,
Stefan Savić,Atlético de Madrid,Spain Primera Division,Montenegro,CB,Gold,83,86,75,81,83,43,52,Medium / High,Right,3,2,
Corentin Tolisso,Bayern München,Germany 1. Bundesliga,France,CM,Gold,83,67,82,64,75,50,81,High / Medium,Right,3,3,
Mateo Kovačić,Chelsea,England Premier League,Croatia,CM,Gold,83,79,84,73,79,24,77,High / High,Right,4,4,
Memphis Depay,Olympique Lyonnais,France Ligue 1,Netherlands,ST,Gold,83,66,70,86,83,69,68,High / Low,Right,3,5,
Kamil Glik,AS Monaco,France Ligue 1,Poland,CB,Gold,83,86,80,72,86,39,73,Low / Medium,Right,2,2,
Kevin Strootman,Olympique de Marseille,France Ligue 1,Netherlands,CM,Gold,83,83,74,80,81,77,76,Medium / High,Left,3,3,
Thomas Lemar,Atlético de Madrid,Spain Primera Division,France,LM,Gold,83,65,76,84,85,37,50,High / Medium,Left,2,4,
David Luiz,Chelsea,England Premier League,Brazil,CB,Gold,83,88,79,75,86,41,64,Medium / Medium,Right,3,3,
Kingsley Coman,Bayern München,Germany 1. Bundesliga,France,LM,Gold,83,74,37,66,65,81,79,Medium / Low,Right,3,5,
Presnel Kimpembe,Paris Saint-Germain,France Ligue 1,France,CB,Gold,83,89,83,71,81,40,74,High / High,Left,3,3,
Adrien Rabiot,Paris Saint-Germain,France Ligue 1,France,CM,Gold,83,73,83,67,79,39,66,High / Medium,Left,3,3,
Shinji Kagawa,Borussia Dortmund,Germany 1. Bundesliga,Japan,CAM,Gold,83,81,70,81,80,44,61,High / Medium,Right,4,4,
Samu Castillejo,Milan,Italy Serie A,Spain,RM,Gold,83,68,38,50,60,81,83,Medium / High,Left,2,4,
Aduriz,Athletic Club de Bilbao,Spain Primera Division,Spain,ST,Gold,83,73,76,79,84,56,76,High / Medium,Right,3,3,
Morata,Chelsea,England Premier League,Spain,ST,Gold,83,90,78,66,78,28,72,High / High,Right,4,3,
Mario Balotelli,OGC Nice,France Ligue 1,Italy,ST,Gold,83,88,84,75,80,37,80,Medium / Low,Right,4,4,
Éver Banega,Sevilla FC,Spain Primera Division,Argentina,CAM,Gold,83,94,69,75,86,47,61,Medium / Medium,Right,4,3,
Gabriel Jesus,Manchester City,England Premier League,Brazil,ST,Gold,83,76,59,77,77,80,76,High / High,Right,3,4,
Leon Goretzka,Bayern München,Germany 1. Bundesliga,Germany,CM,Gold,83,79,81,81,84,45,61,High / High,Right,4,3,
Juan Mata,Manchester United,England Premier League,Spain,RM,Gold,83,79,72,82,82,75,75,Medium / Medium,Left,3,4,
Yannick Carrasco,Dalian Yifang,China Super League,Belgium,LM,Gold,83,87,69,77,79,78,82,High / Medium,Right,4,4,
Nacho Fernández,Real Madrid,Spain Primera Division,Spain,CB,Gold,83,80,57,70,71,83,79,Medium / High,Right,4,2,
Joshua King,Bournemouth,England Premier League,Norway,CF,Gold,82,71,74,77,79,75,82,Medium / Medium,Right,3,4,
Paco Alcácer,Borussia Dortmund,Germany 1. Bundesliga,Spain,ST,Gold,82,79,74,77,82,75,71,High / Medium,Right,4,3,
Jonas Hofmann,Borussia M'gladbach,Germany 1. Bundesliga,Germany,CM,Gold,82,90,79,78,87,45,70,Medium / Low,Right,4,3,
Rúben Dias,SL Benfica,Portugal Liga NOS,Portugal,CB,Gold,82,89,65,78,82,78,72,Medium / High,Right,4,2,
Ross Barkley,Chelsea,England Premier League,England,CM,Gold,82,82,56,75,76,79,79,Medium / Medium,Right,5,4,
Julian Quiñones,Tigres U.A.N.L.,Mexico Liga MX,Colombia,ST,Gold,82,66,50,65,66,83,82,High / Medium,Right,3,3,
Teddy Chevalier,Kortrijk,Belgium Jupiler Pro League,France,RM,Gold,82,88,84,71,77,33,74,High / Medium,Right,4,3,
Gelson Martins,Atlético de Madrid,Spain Primera Division,Portugal,RM,Gold,82,93,81,75,83,41,73,High / Medium,Right,3,5,
Ben Davies,Tottenham Hotspur,England Premier League,Wales,LB,Gold,82,69,78,77,81,75,69,High / High,Left,3,3,
Ricardo Horta,Braga,Portugal Liga NOS,Portugal,LM,Gold,82,85,60,73,78,78,74,High / Medium,Right,4,3,
Lorenzo Pellegrini,Roma,Italy Serie A,Italy,CM,Gold,82,73,70,80,83,65,70,Medium / Medium,Right,3,3,
De Marcos,Athletic Club de Bilbao,Spain Primera Division,Spain,RB,Gold,82,82,52,69,77,80,77,High / Medium,Right,3,4,
Niklas Stark,Hertha BSC,Germany 1. Bundesliga,Germany,CB,Gold,82,85,63,77,83,77,70,High / Medium,Right,3,2,
Axel Witsel,Borussia Dortmund,Germany 1. Bundesliga,Belgium,CM,Gold,82,70,33,63,57,83,75,Medium / Medium,Right,3,4,
Fred,Manchester United,England Premier League,Brazil,CM,Gold,82,82,52,77,79,78,79,High / High,Left,4,4,
Bertrand Traoré,Olympique Lyonnais,France Ligue 1,Burkina Faso,RM,Gold,82,77,82,60,79,34,73,High / High,Left,1,4,
João Cancelo,Juventus,Italy Serie A,Portugal,RB,Gold,82,78,65,78,79,79,77,High / Medium,Right,3,4,
Šime Vrsaljko,Inter,Italy Serie A,Croatia,RB,Gold,82,77,41,60,65,81,81,High / Medium,Right,3,3,
Salif Sané,FC Schalke 04,Germany 1. Bundesliga,Senegal,CB,Gold,82,78,77,79,82,42,77,Medium / High,Right,3,3,
Fedor Smolov,Lokomotiv Moskva,Russia FUT League,Russia,ST,Gold,82,79,63,75,78,79,80,High / Medium,Right,4,4,
Marcus Rashford,Manchester United,England Premier League,England,LW,Gold,82,64,47,69,67,83,78,High / Medium,Right,4,4,
Fabián,Napoli,Italy Serie A,Spain,CM,Gold,82,88,74,82,86,49,56,Medium / Medium,Left,3,4,
Andrew Robertson,Liverpool,England Premier League,Scotland,LB,Gold,82,56,41,60,64,82,80,High / High,Left,2,3,
João Mário,Inter,Italy Serie A,Portugal,CAM,Gold,82,83,63,74,77,82,80,Medium / Medium,Right,4,4,
Elseid Hysaj,Napoli,Italy Serie A,Albania,RB,Gold,82,81,78,81,86,47,71,Medium / Medium,Right,4,3,
Grimaldo,SL Benfica,Portugal Liga NOS,Spain,LB,Gold,82,84,73,75,89,47,52,High / Medium,Left,2,4,
Matija Nastasić,FC Schalke 04,Germany 1. Bundesliga,Serbia,CB,Gold,82,63,56,67,56,83,85,Low / High,Left,2,2,
Benjamin Mendy,Manchester City,England Premier League,France,LB,Gold,82,88,77,72,84,43,59,High / Medium,Left,3,3,
Michy Batshuayi,Valencia CF,Spain Primera Division,Belgium,ST,Gold,82,69,48,56,60,82,83,Medium / Low,Right,5,4,
Faouzi Ghoulam,Napoli,Italy Serie A,Algeria,LB,Gold,82,68,69,81,81,76,68,High / Medium,Left,4,3,
Jeison Murillo,Valencia CF,Spain Primera Division,Colombia,CB,Gold,82,82,71,79,87,43,63,Medium / High,Right,2,2,
Vitolo,Atlético de Madrid,Spain Primera Division,Spain,LM,Gold,82,70,74,81,83,65,72,High / High,Right,4,3,
Serge Aurier,Tottenham Hotspur,England Premier League,Ivory Coast,RB,Gold,82,59,50,62,60,82,89,High / High,Right,3,3,
Joel Matip,Liverpool,England Premier League,Cameroon,CB,Gold,82,53,48,63,64,83,75,Medium / Medium,Right,2,2,
Simone Verdi,Napoli,Italy Serie A,Italy,RW,Gold,82,86,82,76,79,44,69,High / Medium,Left,5,4,
Dejan Lovren,Liverpool,England Premier League,Croatia,CB,Gold,82,81,69,75,74,82,80,Medium / High,Right,4,2,
Mário Fernandes,CSKA Moskva,Russia FUT League,Russia,RWB,Gold,82,79,80,79,82,62,72,High / High,Right,3,3,
Xherdan Shaqiri,Liverpool,England Premier League,Switzerland,RW,Gold,82,54,70,85,85,67,65,Medium / Medium,Left,4,5,
Jesús Corona,FC Porto,Portugal Liga NOS,Mexico,RM,Gold,82,80,77,80,84,67,73,Medium / Low,Right,5,5,
Maicon,Galatasaray,Turkey Süper Lig,Brazil,CB,Gold,82,73,74,74,76,79,81,Medium / High,Right,3,2,
Eduardo Salvio,SL Benfica,Portugal Liga NOS,Argentina,RW,Gold,82,63,71,83,78,76,79,High / High,Right,4,4,
Stephan El Shaarawy,Roma,Italy Serie A,Italy,LW,Gold,82,92,77,77,83,46,74,High / Medium,Right,2,5,
Chris Smalling,Manchester United,England Premier League,England,CB,Gold,82,63,54,63,65,82,83,Medium / High,Right,3,2,
Sebastian Rudy,FC Schalke 04,Germany 1. Bundesliga,Germany,CM,Gold,82,76,32,62,62,83,82,Medium / Medium,Right,3,3,
Diego Perotti,Roma,Italy Serie A,Argentina,LW,Gold,82,81,72,80,84,41,56,Medium / Medium,Right,4,4,
Adam Lallana,Liverpool,England Premier League,England,CM,Gold,82,79,78,70,76,50,73,High / High,Right,5,4,
Marcelo,Olympique Lyonnais,France Ligue 1,Brazil,CB,Gold,82,69,73,79,82,70,69,Low / Medium,Right,2,2,
Benedikt Höwedes,Lokomotiv Moskva,Russia FUT League,Germany,CB,Gold,82,73,76,80,81,55,50,Medium / Medium,Right,3,2,
Kévin Gameiro,Valencia CF,Spain Primera Division,France,ST,Gold,82,76,82,80,80,59,71,Medium / Medium,Right,3,4,
Łukasz Piszczek,Borussia Dortmund,Germany 1. Bundesliga,Poland,RB,Gold,82,94,69,75,86,47,61,Medium / Medium,Right,4,2,
Antonio Candreva,Inter,Italy Serie A,Italy,RM,Gold,82,92,79,75,85,47,65,Medium / Medium,Right,4,4,
Borja Valero,Inter,Italy Serie A,Spain,CAM,Gold,82,83,76,78,87,48,66,Medium / Medium,Right,4,4,
Manuel Fernandes,Lokomotiv Moskva,Russia FUT League,Portugal,LM,Gold,82,84,80,79,87,27,57,High / Medium,Right,4,4,
Héctor Herrera,FC Porto,Portugal Liga NOS,Mexico,CM,Gold,82,79,74,77,82,75,71,High / High,Right,4,3,
James Milner,Liverpool,England Premier League,England,CM,Gold,82,75,73,86,82,57,67,High / High,Right,4,3,
Garry Rodrigues,Galatasaray,Turkey Süper Lig,Cape Verde Islands,LM,Gold,82,89,79,75,83,47,63,Medium / Medium,Right,3,3,
Sidnei,Real Betis Balompié,Spain Primera Division,Brazil,CB,Gold,82,54,57,66,68,82,83,High / Medium,Right,2,2,
Álvaro,Villarreal CF,Spain Primera Division,Spain,CB,Gold,82,58,51,67,67,81,83,Medium / High,Right,3,2,
Nicolás Gaitán,Dalian Yifang,China Super League,Argentina,CAM,Gold,82,71,74,77,79,75,82,Medium / Medium,Left,2,4,
Alex Hunter,Real Madrid,Spain Primera Division,England,ST,Gold,82,68,46,60,61,83,79,High / Low,Right,3,3,
Arthur,FC Barcelona,Spain Primera Division,Brazil,CM,Gold,82,57,42,54,54,83,82,Medium / Medium,Right,3,4,
Oscar,Shanghai SIPG,China Super League,Brazil,CAM,Gold,82,56,43,52,60,83,86,Medium / Medium,Right,3,4,
Anderson Talisca,Guangzhou Evergrande Taobao,China Super League,Brazil,CAM,Gold,82,69,83,74,82,34,68,High / Medium,Left,4,4,
Gelson Martins,Atlético de Madrid,Spain Primera Division,Portugal,RM,Gold,82,82,47,68,71,80,78,High / Medium,Right,3,5,
Taison,Shakhtar Donetsk,Ukraine Premier Liga,Brazil,LM,Gold,82,47,82,71,74,42,79,Medium / Medium,Right,3,4,
Marlos,Shakhtar Donetsk,Ukraine Premier Liga,Ukraine,RM,Gold,82,83,75,80,85,56,64,Medium / Medium,Left,4,5,
Sebastian Giovinco,Toronto FC,USA Major League Soccer,Italy,CF,Gold,82,76,77,82,83,72,71,High / Medium,Right,4,4,
Fred,Manchester United,England Premier League,Brazil,CM,Gold,82,69,31,63,70,84,72,High / High,Left,4,4,
Hakim Ziyech,Ajax,Holland Eredivisie,,CAM,Gold,82,80,75,82,86,33,54,High / High,Left,2,4,
Edin Višća,Medipol Başakşehir,Turkey Süper Lig,Bosnia Herzegovina,RM,Gold,82,79,66,79,85,63,62,High / Medium,Right,4,4,
Ljubomir Fejsa,SL Benfica,Portugal Liga NOS,Serbia,CDM,Gold,82,62,57,64,62,81,77,Low / High,Right,3,2,
Vedran Ćorluka,Lokomotiv Moskva,Russia FUT League,Croatia,CB,Gold,82,50,67,72,70,81,89,High / Medium,Right,3,3,
Axel Witsel,Borussia Dortmund,Germany 1. Bundesliga,Belgium,CM,Gold,82,73,35,59,67,83,78,Medium / Medium,Right,3,4,
Marcano,Roma,Italy Serie A,Spain,CB,Gold,82,69,83,82,82,46,70,Medium / Medium,Left,3,2,
Jardel,SL Benfica,Portugal Liga NOS,Brazil,CB,Gold,82,69,73,83,86,59,67,Medium / High,Right,2,2,
Sebastián Coates,Sporting CP,Portugal Liga NOS,Uruguay,CB,Gold,82,74,42,59,66,82,82,Medium / Medium,Right,3,2,
David Villa,New York City FC,USA Major League Soccer,Spain,ST,Gold,82,74,79,65,79,33,71,High / Low,Right,5,4,
Lucas Hernández,Atlético de Madrid,Spain Primera Division,France,LB,Gold,82,79,81,62,77,50,86,Medium / High,Left,3,3,
Olivier Giroud,Chelsea,England Premier League,France,ST,Gold,82,78,76,77,75,78,84,Medium / Medium,Left,3,3,
Federico Bernardeschi,Juventus,Italy Serie A,Italy,RM,Gold,82,35,63,66,65,82,79,High / Medium,Left,3,5,
Giacomo Bonaventura,Milan,Italy Serie A,Italy,CM,Gold,82,57,42,64,61,82,82,High / Medium,Right,3,4,
Andreas Christensen,Chelsea,England Premier League,Denmark,CB,Gold,82,65,63,81,81,77,71,Low / Medium,Right,3,2,
Suso,Milan,Italy Serie A,Spain,RW,Gold,82,59,50,58,58,85,80,High / Medium,Left,3,4,
Kevin Kampl,RB Leipzig,Germany 1. Bundesliga,Slovenia,CM,Gold,82,78,71,81,84,77,66,High / High,Right,4,3,
Shkodran Mustafi,Arsenal,England Premier League,Germany,CB,Gold,82,79,81,57,77,41,84,Medium / High,Right,3,2,
Steven Nzonzi,Roma,Italy Serie A,France,CDM,Gold,82,71,72,79,80,78,76,Medium / Medium,Right,3,2,
Clément Lenglet,FC Barcelona,Spain Primera Division,France,CB,Gold,82,88,79,76,82,36,68,Medium / High,Left,4,2,
Max Kruse,Werder Bremen,Germany 1. Bundesliga,Germany,CF,Gold,82,65,41,62,65,82,75,High / Medium,Left,4,4,
Idrissa Gueye,Everton,England Premier League,Senegal,CDM,Gold,82,68,64,73,73,85,79,Medium / High,Right,3,3,
Mario Götze,Borussia Dortmund,Germany 1. Bundesliga,Germany,CM,Gold,82,40,41,54,56,85,83,Medium / Medium,Right,4,4,
Eric Bailly,Manchester United,England Premier League,Ivory Coast,CB,Gold,82,76,71,82,81,73,73,Medium / High,Right,3,2,
Carlos Bacca,Villarreal CF,Spain Primera Division,Colombia,ST,Gold,82,91,81,72,85,44,67,Medium / Low,Right,2,4,
Simone Zaza,Torino,Italy Serie A,Italy,ST,Gold,82,89,75,76,87,36,55,High / High,Left,3,4,
Thomas Meunier,Paris Saint-Germain,France Ligue 1,Belgium,RB,Gold,82,88,81,72,80,35,75,High / High,Right,4,3,
Ezequiel Garay,Valencia CF,Spain Primera Division,Argentina,CB,Gold,82,43,58,74,71,75,80,Medium / Medium,Right,3,2,
Víctor Ruiz,Villarreal CF,Spain Primera Division,Spain,CB,Gold,82,60,77,80,82,47,73,Medium / Medium,Left,2,2,
Lucas Biglia,Milan,Italy Serie A,Argentina,CDM,Gold,82,71,70,81,76,81,81,Medium / High,Right,4,3,
Francesco Acerbi,Lazio,Italy Serie A,Italy,CB,Gold,82,59,80,84,79,56,70,Medium / Medium,Left,3,2,
Dani Alves,Paris Saint-Germain,France Ligue 1,Brazil,RB,Gold,82,66,34,52,66,84,79,High / Low,Right,3,4,
Andrea Belotti,Torino,Italy Serie A,Italy,ST,Gold,82,84,77,78,81,76,76,High / High,Right,5,3,
Ander Herrera,Manchester United,England Premier League,Spain,CM,Gold,82,73,77,83,82,41,61,High / High,Right,4,3,
Gonçalo Guedes,Valencia CF,Spain Primera Division,Portugal,LW,Gold,82,73,67,81,82,72,68,High / Low,Right,3,4,
Laurent Koscielny,Arsenal,England Premier League,France,CB,Gold,82,73,77,85,84,33,60,Medium / High,Right,3,2,
Lars Bender,Bayer 04 Leverkusen,Germany 1. Bundesliga,Germany,RB,Gold,82,91,74,73,87,29,72,High / High,Right,3,2,
Federico Fazio,Roma,Italy Serie A,Argentina,CB,Gold,82,66,70,83,75,77,78,Medium / Medium,Right,2,2,
Jean Michaël Seri,Fulham,England Premier League,Ivory Coast,CM,Gold,82,75,66,76,81,82,80,High / Medium,Right,4,3,
Serge Gnabry,Bayern München,Germany 1. Bundesliga,Germany,LM,Gold,82,76,77,77,83,43,56,High / Medium,Right,4,4,
Ousmane Dembélé,FC Barcelona,Spain Primera Division,France,RW,Gold,82,73,49,68,66,83,80,High / Low,Left,5,4,
Cédric Bakambu,Beijing Sinobo Guoan,China Super League,DR Congo,ST,Gold,82,69,36,69,71,83,78,Medium / Medium,Right,4,3,
Dani García,Athletic Club de Bilbao,Spain Primera Division,Spain,CDM,Gold,82,92,75,78,88,56,60,Medium / High,Right,3,3,
Franco Vázquez,Sevilla FC,Spain Primera Division,Italy,CAM,Gold,82,75,76,82,79,72,73,Medium / High,Left,3,4,
Aleksandar Kolarov,Roma,Italy Serie A,Serbia,LB,Gold,82,78,37,63,67,83,74,High / Medium,Left,3,3,
Gylfi Sigurðsson,Everton,England Premier League,Iceland,CAM,Gold,82,81,78,76,84,56,68,High / High,Right,4,3,
Alessio Romagnoli,Milan,Italy Serie A,Italy,CB,Gold,82,73,71,81,83,33,65,Medium / High,Left,3,2,
Alessandro Florenzi,Roma,Italy Serie A,Italy,RB,Gold,82,92,74,75,85,42,59,High / Medium,Right,3,4,
Joaquín,Real Betis Balompié,Spain Primera Division,Spain,RM,Gold,82,60,53,54,61,81,87,High / Medium,Right,3,4,
Andrés Guardado,Real Betis Balompié,Spain Primera Division,Mexico,CM,Gold,82,81,77,78,84,30,64,Medium / Medium,Left,2,4,
Luis Alberto,Lazio,Italy Serie A,Spain,CF,Gold,82,67,76,79,80,67,74,High / Medium,Right,4,4,
Wilfried Zaha,Crystal Palace,England Premier League,Ivory Coast,CF,Gold,82,93,77,75,85,33,64,High / Medium,Right,3,5,
Jordan Henderson,Liverpool,England Premier League,England,CDM,Gold,82,73,73,78,77,80,79,High / High,Right,3,3,
Allan,Napoli,Italy Serie A,Brazil,CM,Gold,82,69,76,76,76,79,80,Medium / High,Right,3,4,
Pedro,Chelsea,England Premier League,Spain,RW,Gold,82,85,67,76,80,79,79,High / High,Right,5,4,
Gabriel Paulista,Valencia CF,Spain Primera Division,Brazil,CB,Gold,82,73,73,76,79,83,88,Low / High,Right,2,2,
John Stones,Manchester City,England Premier League,England,CB,Gold,82,73,58,71,74,81,73,High / Medium,Right,4,3,
Felipe Anderson,West Ham United,England Premier League,Brazil,LM,Gold,82,62,39,53,64,85,75,High / High,Right,4,4,
Daniel Wass,Valencia CF,Spain Primera Division,Denmark,CM,Gold,82,75,84,71,85,30,71,High / Medium,Right,3,4,
Ömer Toprak,Borussia Dortmund,Germany 1. Bundesliga,Turkey,CB,Gold,82,75,67,74,77,80,82,Medium / Medium,Right,4,2,
Jesse Lingard,Manchester United,England Premier League,England,CAM,Gold,82,81,75,81,84,61,69,High / High,Right,3,4,
Emil Forsberg,RB Leipzig,Germany 1. Bundesliga,Sweden,CAM,Gold,82,47,46,63,69,81,82,Medium / Medium,Right,4,4,
Lucas,Tottenham Hotspur,England Premier League,Brazil,RM,Gold,82,75,58,82,76,79,72,Medium / Medium,Right,3,4,
Adil Rami,Olympique de Marseille,France Ligue 1,France,CB,Gold,82,76,72,77,83,71,73,High / High,Right,3,2,
Julian Brandt,Bayer 04 Leverkusen,Germany 1. Bundesliga,Germany,LM,Gold,82,90,81,63,77,54,77,Medium / Medium,Right,4,4,
Aaron Ramsey,Arsenal,England Premier League,Wales,CM,Gold,82,69,75,83,84,56,63,High / High,Right,3,3,
Leon Bailey,Bayer 04 Leverkusen,Germany 1. Bundesliga,,LM,Gold,82,70,76,79,84,69,62,High / Medium,Left,4,4,
Marcos Alonso,Chelsea,England Premier League,Spain,LB,Gold,82,68,69,75,77,76,75,High / High,Left,3,3,
Marco Parolo,Lazio,Italy Serie A,Italy,CDM,Gold,82,94,72,74,81,44,63,High / High,Right,4,3,
Marko Arnautović,West Ham United,England Premier League,Austria,ST,Gold,82,74,35,46,62,82,77,High / Medium,Right,4,4,
Antonio Valencia,Manchester United,England Premier League,Ecuador,RB,Gold,82,87,73,81,85,48,55,High / High,Right,2,3,
Geoffrey Kondogbia,Valencia CF,Spain Primera Division,France,CM,Gold,82,75,75,80,82,65,71,High / Medium,Left,2,4,
Bartra,Real Betis Balompié,Spain Primera Division,Spain,CB,Gold,82,81,80,72,80,37,84,High / Medium,Right,3,3,
Daniele Rugani,Juventus,Italy Serie A,Italy,CB,Gold,82,83,81,66,81,45,79,Low / Medium,Right,3,2,
Andrej Kramarić,TSG 1899 Hoffenheim,Germany 1. Bundesliga,Croatia,ST,Gold,82,71,86,68,80,34,76,Medium / Medium,Right,4,4,
Thomas Partey,Atlético de Madrid,Spain Primera Division,Ghana,CDM,Gold,82,70,82,81,79,70,86,High / High,Right,3,3,
Jonathan Viera,Beijing Sinobo Guoan,China Super League,Spain,CAM,Gold,82,42,41,50,48,83,84,High / Low,Right,4,4,
Harry Maguire,Leicester City,England Premier League,England,CB,Gold,82,65,49,64,65,82,81,High / High,Right,3,2,
Kieran Trippier,Tottenham Hotspur,England Premier League,England,RB,Gold,82,81,55,74,75,78,78,High / High,Right,4,3,
Georginio Wijnaldum,Liverpool,England Premier League,Netherlands,CM,Gold,82,87,83,70,76,32,73,High / High,Right,3,4,
Jamie Vardy,Leicester City,England Premier League,England,ST,Gold,82,78,82,68,76,37,85,High / High,Right,3,3,
Javier Pastore,Roma,Italy Serie A,Argentina,CM,Gold,82,92,78,77,83,39,58,High / Medium,Right,4,4,
Rafinha,FC Barcelona,Spain Primera Division,Brazil,CAM,Gold,82,94,80,70,80,34,62,High / High,Left,4,4,
Rodri,Atlético de Madrid,Spain Primera Division,Spain,CM,Gold,82,80,78,82,82,38,72,Medium / High,Right,3,4,
James Forrest,Celtic,Scotland Premiership,Scotland,RM,Gold,81,87,77,78,82,34,60,Medium / Medium,Right,3,3,
Lorenzo Tonelli,Sampdoria,Italy Serie A,Italy,CB,Gold,81,84,56,76,80,76,80,Low / High,Right,3,2,
Simone Verdi,Napoli,Italy Serie A,Italy,RW,Gold,81,50,83,72,76,45,75,High / Medium,Left,5,4,
Giovani Lo Celso,Paris Saint-Germain,France Ligue 1,Argentina,CM,Gold,81,86,82,63,75,46,83,High / Medium,Left,3,3,
Vincent Aboubakar,FC Porto,Portugal Liga NOS,Cameroon,ST,Gold,81,69,59,67,67,81,83,High / Medium,Right,3,5,
André Silva,Sevilla FC,Spain Primera Division,Portugal,ST,Gold,81,77,75,82,80,63,66,High / Medium,Right,3,3,
Alfreð Finnbogason,FC Augsburg,Germany 1. Bundesliga,Iceland,ST,Gold,81,82,54,72,74,80,69,Medium / Medium,Right,4,3,
Fredy Guarín,Shanghai Greenland Shenhua,China Super League,Colombia,CDM,Gold,81,93,58,68,81,74,73,High / High,Right,4,4,
Eric Botteghin,Feyenoord,Holland Eredivisie,Brazil,CB,Gold,81,89,81,62,65,43,89,Low / High,Right,2,2,
Salif Sané,FC Schalke 04,Germany 1. Bundesliga,Senegal,CB,Gold,81,92,68,75,87,51,58,Medium / High,Right,3,3,
Šime Vrsaljko,Inter,Italy Serie A,Croatia,RB,Gold,81,69,48,75,77,78,69,High / Medium,Right,3,3,
Fedor Smolov,Lokomotiv Moskva,Russia FUT League,Russia,ST,Gold,81,94,76,73,83,42,65,High / Medium,Right,4,4,
Wesley,Club Brugge,Belgium Jupiler Pro League,Brazil,ST,Gold,81,72,69,78,82,77,77,High / High,Right,3,4,
Shoya Nakajima,Portimonense,Portugal Liga NOS,Japan,LW,Gold,81,85,76,75,83,30,51,High / Medium,Right,4,4,
Ahmed Musa,Al Nassr,Saudi Dawry Jameel League,Nigeria,LM,Gold,81,71,74,81,81,75,73,High / Medium,Right,3,3,
Rodrigo De Paul,Udinese,Italy Serie A,Argentina,LM,Gold,81,93,77,73,84,30,71,Medium / Medium,Right,3,4,
Miralem Sulejmani,BSC Young Boys,Switzerland Super League,Serbia,LM,Gold,81,81,81,72,86,55,60,Medium / Medium,Left,3,3,
Kenny Lala,RC Strasbourg,France Ligue 1,France,RWB,Gold,81,80,79,69,80,52,74,High / Medium,Right,3,3,
Vedad Ibišević,Hertha BSC,Germany 1. Bundesliga,Bosnia Herzegovina,ST,Gold,81,68,74,81,83,60,70,Medium / Low,Right,4,3,
Mariano,Real Madrid,Spain Primera Division,Dominican Republic,ST,Gold,81,84,71,80,83,70,60,High / Medium,Right,4,3,
Matthijs de Ligt,Ajax,Holland Eredivisie,Netherlands,CB,Gold,81,72,69,78,78,81,84,Medium / Medium,Right,4,2,
Carlos Soler,Valencia CF,Spain Primera Division,Spain,RM,Gold,81,68,62,73,71,79,82,Medium / Medium,Right,4,3,
Odriozola,Real Madrid,Spain Primera Division,Spain,RB,Gold,81,73,84,63,75,40,75,High / Medium,Right,3,3,
Nélson Semedo,FC Barcelona,Spain Primera Division,Portugal,RB,Gold,81,66,64,73,66,83,87,Medium / High,Right,3,4,
Moussa Marega,FC Porto,Portugal Liga NOS,Mali,ST,Gold,81,70,61,70,67,80,79,High / Medium,Right,3,2,
Franco Cervi,SL Benfica,Portugal Liga NOS,Argentina,LW,Gold,81,80,64,77,77,77,81,High / High,Left,3,4,
Julian Weigl,Borussia Dortmund,Germany 1. Bundesliga,Germany,CDM,Gold,81,77,85,70,78,35,68,Medium / Medium,Right,3,3,
Hirving Lozano,PSV,Holland Eredivisie,Mexico,RW,Gold,81,70,70,82,84,40,64,High / Medium,Right,4,4,
Matias Vecino,Inter,Italy Serie A,Uruguay,CDM,Gold,81,86,74,79,84,67,77,High / High,Right,3,4,
Matteo Politano,Inter,Italy Serie A,Italy,LW,Gold,81,79,77,79,81,72,76,High / Medium,Left,4,3,
Marcelo Brozović,Inter,Italy Serie A,Croatia,CDM,Gold,81,73,69,77,74,82,79,Medium / Medium,Right,4,3,
Keita Baldé,Inter,Italy Serie A,Senegal,RM,Gold,81,58,54,63,63,81,78,High / Low,Right,4,4,
Ángel Correa,Atlético de Madrid,Spain Primera Division,Argentina,RM,Gold,81,75,77,79,85,58,72,Medium / Low,Right,4,4,
